,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100952,Sint Maarten,1,,1,,,,,,23,2020-03-22 00:00:02.483
1,101141,Sint Maarten,1,,1,,,,,,23,2020-03-22 00:10:02.327
2,101330,Sint Maarten,1,,1,,,,,,23,2020-03-22 00:20:02.401
3,101519,Sint Maarten,1,,1,,,,,,23,2020-03-22 00:30:02.053
4,101708,Sint Maarten,1,,1,,,,,,23,2020-03-22 00:40:02.56
5,101897,Sint Maarten,1,,1,,,,,,23,2020-03-22 00:50:01.898
6,102086,Sint Maarten,1,,1,,,,,,23,2020-03-22 01:00:01.656
7,102275,Sint Maarten,1,,1,,,,,,23,2020-03-22 01:10:02.184
8,102464,Sint Maarten,1,,1,,,,,,23,2020-03-22 01:20:02.26
9,102653,Sint Maarten,1,,1,,,,,,23,2020-03-22 01:30:02.051
10,102842,Sint Maarten,1,,1,,,,,,23,2020-03-22 01:40:02.218
11,103031,Sint Maarten,1,,1,,,,,,23,2020-03-22 01:50:02.054
12,103220,Sint Maarten,1,,1,,,,,,23,2020-03-22 02:00:01.626
13,103409,Sint Maarten,1,,1,,,,,,23,2020-03-22 02:10:01.659
14,103598,Sint Maarten,1,,1,,,,,,23,2020-03-22 02:20:02.44
15,103787,Sint Maarten,1,,1,,,,,,23,2020-03-22 02:30:01.848
16,103976,Sint Maarten,1,,1,,,,,,23,2020-03-22 02:40:02.273
17,104165,Sint Maarten,1,,1,,,,,,23,2020-03-22 02:50:01.692
18,104354,Sint Maarten,1,,1,,,,,,23,2020-03-22 03:00:02.482
19,104543,Sint Maarten,1,,1,,,,,,23,2020-03-22 03:10:02.128
20,104732,Sint Maarten,1,,1,,,,,,23,2020-03-22 03:20:02.286
21,104921,Sint Maarten,1,,1,,,,,,23,2020-03-22 03:30:01.618
22,105110,Sint Maarten,1,,1,,,,,,23,2020-03-22 03:40:02.473
23,105299,Sint Maarten,1,,1,,,,,,23,2020-03-22 03:50:02.419
24,105488,Sint Maarten,1,,1,,,,,,23,2020-03-22 04:00:02.368
25,105677,Sint Maarten,1,,1,,,,,,23,2020-03-22 04:10:02.471
26,105866,Sint Maarten,1,,1,,,,,,23,2020-03-22 04:20:02.205
27,106055,Sint Maarten,1,,1,,,,,,23,2020-03-22 04:30:01.838
28,106245,Sint Maarten,1,,1,,,,,,23,2020-03-22 04:40:01.728
29,106434,Sint Maarten,1,,1,,,,,,23,2020-03-22 04:50:02.186
30,106623,Sint Maarten,1,,1,,,,,,23,2020-03-22 05:00:02.283
31,106812,Sint Maarten,1,,1,,,,,,23,2020-03-22 05:10:02.023
32,107001,Sint Maarten,1,,1,,,,,,23,2020-03-22 05:20:02.539
33,107190,Sint Maarten,1,,1,,,,,,23,2020-03-22 05:30:01.917
34,107379,Sint Maarten,1,,1,,,,,,23,2020-03-22 05:40:02.393
35,107568,Sint Maarten,1,,1,,,,,,23,2020-03-22 05:50:01.706
36,107757,Sint Maarten,1,,1,,,,,,23,2020-03-22 06:00:02.31
37,107946,Sint Maarten,1,,1,,,,,,23,2020-03-22 06:10:02.48
38,108135,Sint Maarten,1,,1,,,,,,23,2020-03-22 06:20:02.308
39,108324,Sint Maarten,1,,1,,,,,,23,2020-03-22 06:30:02.468
40,108513,Sint Maarten,1,,1,,,,,,23,2020-03-22 06:40:01.627
41,108702,Sint Maarten,1,,1,,,,,,23,2020-03-22 06:50:02.568
42,108891,Sint Maarten,1,,1,,,,,,23,2020-03-22 07:00:01.882
43,109080,Sint Maarten,1,,1,,,,,,23,2020-03-22 07:10:01.602
44,109269,Sint Maarten,1,,1,,,,,,23,2020-03-22 07:20:01.725
45,109458,Sint Maarten,1,,1,,,,,,23,2020-03-22 07:30:02.517
46,109647,Sint Maarten,1,,1,,,,,,23,2020-03-22 07:40:02.004
47,109836,Sint Maarten,1,,1,,,,,,23,2020-03-22 07:50:01.639
48,110025,Sint Maarten,1,,1,,,,,,23,2020-03-22 08:00:02.288
49,110214,Sint Maarten,1,,1,,,,,,23,2020-03-22 08:10:01.955
50,110403,Sint Maarten,1,,1,,,,,,23,2020-03-22 08:20:02.461
51,110592,Sint Maarten,1,,1,,,,,,23,2020-03-22 08:30:01.924
52,110781,Sint Maarten,1,,1,,,,,,23,2020-03-22 08:40:02.277
53,110970,Sint Maarten,1,,1,,,,,,23,2020-03-22 08:50:01.998
54,111159,Sint Maarten,1,,1,,,,,,23,2020-03-22 09:00:02.386
55,111348,Sint Maarten,1,,1,,,,,,23,2020-03-22 09:10:02.333
56,111537,Sint Maarten,1,,1,,,,,,23,2020-03-22 09:20:01.679
57,111726,Sint Maarten,1,,1,,,,,,23,2020-03-22 09:30:01.858
58,111915,Sint Maarten,1,,1,,,,,,23,2020-03-22 09:40:02.077
59,112104,Sint Maarten,1,,1,,,,,,23,2020-03-22 09:50:02.389
60,112293,Sint Maarten,1,,1,,,,,,23,2020-03-22 10:00:01.658
61,112482,Sint Maarten,1,,1,,,,,,23,2020-03-22 10:10:02.03
62,112671,Sint Maarten,1,,1,,,,,,23,2020-03-22 10:20:02.283
63,112860,Sint Maarten,1,,1,,,,,,23,2020-03-22 10:30:02.203
64,113049,Sint Maarten,1,,1,,,,,,23,2020-03-22 10:50:02.099
65,113238,Sint Maarten,1,,1,,,,,,23,2020-03-22 11:00:01.809
66,113427,Sint Maarten,1,,1,,,,,,23,2020-03-22 11:10:02.337
67,113616,Sint Maarten,1,,1,,,,,,23,2020-03-22 11:20:02.297
68,113805,Sint Maarten,1,,1,,,,,,23,2020-03-22 11:30:02.571
69,113994,Sint Maarten,1,,1,,,,,,23,2020-03-22 11:40:01.658
70,114183,Sint Maarten,1,,1,,,,,,23,2020-03-22 11:50:02.534
71,114372,Sint Maarten,1,,1,,,,,,23,2020-03-22 12:00:01.655
72,114561,Sint Maarten,1,,1,,,,,,23,2020-03-22 12:10:02.323
73,114750,Sint Maarten,1,,1,,,,,,23,2020-03-22 12:20:01.826
74,114939,Sint Maarten,1,,1,,,,,,23,2020-03-22 12:30:02.517
75,115128,Sint Maarten,1,,1,,,,,,23,2020-03-22 12:40:02.46
76,115317,Sint Maarten,1,,1,,,,,,23,2020-03-22 12:50:02.108
77,115506,Sint Maarten,1,,1,,,,,,23,2020-03-22 13:00:01.691
78,115695,Sint Maarten,1,,1,,,,,,23,2020-03-22 13:10:01.964
79,115884,Sint Maarten,1,,1,,,,,,23,2020-03-22 13:20:01.995
80,116073,Sint Maarten,1,,1,,,,,,23,2020-03-22 13:30:02.353
81,116262,Sint Maarten,1,,1,,,,,,23,2020-03-22 13:40:02.609
82,116451,Sint Maarten,1,,1,,,,,,23,2020-03-22 13:50:01.753
83,116640,Sint Maarten,1,,1,,,,,,23,2020-03-22 14:00:02.347
84,116829,Sint Maarten,1,,1,,,,,,23,2020-03-22 14:10:02.014
85,117018,Sint Maarten,1,,1,,,,,,23,2020-03-22 14:20:01.732
86,117207,Sint Maarten,1,,1,,,,,,23,2020-03-22 14:30:02.279
87,117396,Sint Maarten,1,,1,,,,,,23,2020-03-22 14:40:01.994
88,117585,Sint Maarten,1,,1,,,,,,23,2020-03-22 14:50:01.896
89,117774,Sint Maarten,1,,1,,,,,,23,2020-03-22 15:00:01.708
90,117963,Sint Maarten,1,,1,,,,,,23,2020-03-22 15:10:01.808
91,118152,Sint Maarten,1,,1,,,,,,23,2020-03-22 15:20:02.115
92,118341,Sint Maarten,1,,1,,,,,,23,2020-03-22 15:30:02.542
93,118530,Sint Maarten,1,,1,,,,,,23,2020-03-22 15:40:01.608
94,118719,Sint Maarten,1,,1,,,,,,23,2020-03-22 15:50:02.028
95,118908,Sint Maarten,1,,1,,,,,,23,2020-03-22 16:00:01.887
96,119098,Sint Maarten,1,,1,,,,,,23,2020-03-22 16:10:02.607
97,119288,Sint Maarten,1,,1,,,,,,23,2020-03-22 16:40:02.392
98,119478,Sint Maarten,1,,1,,,,,,23,2020-03-22 16:50:02.248
99,119668,Sint Maarten,1,,1,,,,,,23,2020-03-22 17:00:02.174
100,119858,Sint Maarten,1,,1,,,,,,23,2020-03-22 17:10:01.966
101,120048,Sint Maarten,1,,1,,,,,,23,2020-03-22 17:20:01.901
102,120238,Sint Maarten,1,,1,,,,,,23,2020-03-22 17:30:03.26
103,120428,Sint Maarten,1,,1,,,,,,23,2020-03-22 17:40:03.136
104,120618,Sint Maarten,1,,1,,,,,,23,2020-03-22 17:50:01.957
105,120808,Sint Maarten,1,,1,,,,,,23,2020-03-22 18:00:01.753
106,120998,Sint Maarten,1,,1,,,,,,23,2020-03-22 18:10:02.492
107,121188,Sint Maarten,1,,1,,,,,,23,2020-03-22 18:30:02.036
108,121378,Sint Maarten,1,,1,,,,,,23,2020-03-22 18:40:02.238
109,121568,Sint Maarten,1,,1,,,,,,23,2020-03-22 18:50:02.468
110,121758,Sint Maarten,1,,1,,,,,,23,2020-03-22 19:00:01.712
111,121948,Sint Maarten,1,,1,,,,,,23,2020-03-22 19:10:01.802
112,122138,Sint Maarten,1,,1,,,,,,23,2020-03-22 19:20:01.774
113,122328,Sint Maarten,1,,1,,,,,,23,2020-03-22 19:30:02.213
114,122520,Sint Maarten,1,,1,,,,,,23,2020-03-22 19:40:02.298
115,122712,Sint Maarten,1,,1,,,,,,23,2020-03-22 19:50:02.038
116,122904,Sint Maarten,1,,1,,,,,,23,2020-03-22 20:00:02.199
117,123096,Sint Maarten,1,,1,,,,,,23,2020-03-22 20:10:02.435
118,123288,Sint Maarten,1,,1,,,,,,23,2020-03-22 20:20:01.689
119,123480,Sint Maarten,1,,1,,,,,,23,2020-03-22 20:30:01.705
120,123672,Sint Maarten,1,,1,,,,,,23,2020-03-22 20:40:02.242
121,123864,Sint Maarten,1,,1,,,,,,23,2020-03-22 20:50:02.144
122,124056,Sint Maarten,1,,1,,,,,,23,2020-03-22 21:00:01.651
123,124249,Sint Maarten,1,,1,,,,,,23,2020-03-22 21:10:02.274
124,124442,Sint Maarten,1,,1,,,,,,23,2020-03-22 21:20:02.379
125,124635,Sint Maarten,1,,1,,,,,,23,2020-03-22 21:30:02.09
126,124828,Sint Maarten,1,,1,,,,,,23,2020-03-22 21:40:02.262
127,125021,Sint Maarten,1,,1,,,,,,23,2020-03-22 21:50:02.451
128,125214,Sint Maarten,1,,1,,,,,,23,2020-03-22 22:00:02.593
129,125407,Sint Maarten,1,,1,,,,,,23,2020-03-22 22:10:02.087
130,125600,Sint Maarten,1,,1,,,,,,23,2020-03-22 22:20:01.881
131,125793,Sint Maarten,1,,1,,,,,,23,2020-03-22 22:30:01.794
132,125986,Sint Maarten,1,,1,,,,,,23,2020-03-22 22:40:01.8
133,126179,Sint Maarten,1,,1,,,,,,23,2020-03-22 22:50:01.828
134,126372,Sint Maarten,1,,1,,,,,,23,2020-03-22 23:00:02.502
135,126565,Sint Maarten,1,,1,,,,,,23,2020-03-22 23:10:02.549
136,126758,Sint Maarten,1,,1,,,,,,23,2020-03-22 23:20:01.891
137,126951,Sint Maarten,1,,1,,,,,,23,2020-03-22 23:30:01.863
138,127144,Sint Maarten,1,,1,,,,,,23,2020-03-22 23:40:02.207
139,127337,Sint Maarten,1,,1,,,,,,23,2020-03-22 23:50:01.664
140,127530,Sint Maarten,1,,1,,,,,,23,2020-03-23 00:00:02.179
141,127723,Sint Maarten,1,,1,,,,,,23,2020-03-23 00:10:01.95
142,127916,Sint Maarten,1,,1,,,,,,23,2020-03-23 00:20:02.492
143,128109,Sint Maarten,1,,1,,,,,,23,2020-03-23 00:30:02.344
144,128302,Sint Maarten,1,,1,,,,,,23,2020-03-23 00:40:01.875
145,128495,Sint Maarten,1,,1,,,,,,23,2020-03-23 00:50:02.095
146,128688,Sint Maarten,1,,1,,,,,,23,2020-03-23 01:00:02.319
147,128881,Sint Maarten,1,,1,,,,,,23,2020-03-23 01:10:01.782
148,129074,Sint Maarten,1,,1,,,,,,23,2020-03-23 01:20:02.43
149,129267,Sint Maarten,1,,1,,,,,,23,2020-03-23 01:30:02.407
150,129460,Sint Maarten,1,,1,,,,,,23,2020-03-23 01:40:02.085
151,129653,Sint Maarten,1,,1,,,,,,23,2020-03-23 01:50:02.168
152,129846,Sint Maarten,1,,1,,,,,,23,2020-03-23 02:00:02.269
153,130039,Sint Maarten,1,,1,,,,,,23,2020-03-23 02:10:02.435
154,130232,Sint Maarten,1,,1,,,,,,23,2020-03-23 02:20:02.448
155,130425,Sint Maarten,1,,1,,,,,,23,2020-03-23 02:30:01.911
156,130618,Sint Maarten,1,,1,,,,,,23,2020-03-23 02:40:01.69
157,130811,Sint Maarten,1,,1,,,,,,23,2020-03-23 02:50:02.471
158,131004,Sint Maarten,1,,1,,,,,,23,2020-03-23 03:00:01.655
159,131197,Sint Maarten,1,,1,,,,,,23,2020-03-23 03:10:02.377
160,131390,Sint Maarten,1,,1,,,,,,23,2020-03-23 03:20:02.558
161,131583,Sint Maarten,1,,1,,,,,,23,2020-03-23 03:30:02.093
162,131776,Sint Maarten,1,,1,,,,,,23,2020-03-23 03:40:01.746
163,131969,Sint Maarten,1,,1,,,,,,23,2020-03-23 03:50:02.043
164,132162,Sint Maarten,1,,1,,,,,,23,2020-03-23 04:00:02.36
165,132355,Sint Maarten,1,,1,,,,,,23,2020-03-23 04:10:02.185
166,132548,Sint Maarten,1,,1,,,,,,23,2020-03-23 04:20:02.316
167,132741,Sint Maarten,1,,1,,,,,,23,2020-03-23 04:30:02.294
168,132934,Sint Maarten,1,,1,,,,,,23,2020-03-23 04:40:01.894
169,133127,Sint Maarten,1,,1,,,,,,23,2020-03-23 04:50:01.593
170,133320,Sint Maarten,1,,1,,,,,,23,2020-03-23 05:00:02.347
171,133513,Sint Maarten,1,,1,,,,,,23,2020-03-23 05:10:02.388
172,133706,Sint Maarten,1,,1,,,,,,23,2020-03-23 05:20:02.591
173,133899,Sint Maarten,1,,1,,,,,,23,2020-03-23 05:30:02.554
174,134092,Sint Maarten,1,,1,,,,,,23,2020-03-23 05:40:02.191
175,134285,Sint Maarten,1,,1,,,,,,23,2020-03-23 05:50:01.741
176,134478,Sint Maarten,1,,1,,,,,,23,2020-03-23 06:00:01.967
177,134671,Sint Maarten,1,,1,,,,,,23,2020-03-23 06:10:01.821
178,134864,Sint Maarten,1,,1,,,,,,23,2020-03-23 06:20:02.087
179,135057,Sint Maarten,1,,1,,,,,,23,2020-03-23 06:30:02.225
180,135250,Sint Maarten,1,,1,,,,,,23,2020-03-23 06:40:01.869
181,135443,Sint Maarten,1,,1,,,,,,23,2020-03-23 06:50:02.3
182,135636,Sint Maarten,1,,1,,,,,,23,2020-03-23 07:00:01.638
183,135829,Sint Maarten,1,,1,,,,,,23,2020-03-23 07:10:02.063
184,136022,Sint Maarten,1,,1,,,,,,23,2020-03-23 07:20:02.094
185,136215,Sint Maarten,1,,1,,,,,,23,2020-03-23 07:30:01.782
186,136408,Sint Maarten,1,,1,,,,,,23,2020-03-23 07:40:01.625
187,136601,Sint Maarten,1,,1,,,,,,23,2020-03-23 07:50:02.367
188,136794,Sint Maarten,1,,1,,,,,,23,2020-03-23 08:00:02.076
189,136987,Sint Maarten,1,,1,,,,,,23,2020-03-23 08:10:02.4
190,137180,Sint Maarten,1,,1,,,,,,23,2020-03-23 08:30:02.196
191,137373,Sint Maarten,1,,1,,,,,,23,2020-03-23 08:40:01.781
192,137566,Sint Maarten,1,,1,,,,,,23,2020-03-23 08:50:02.437
193,137759,Sint Maarten,1,,1,,,,,,23,2020-03-23 09:00:01.915
194,137952,Sint Maarten,1,,1,,,,,,23,2020-03-23 09:10:01.846
195,138145,Sint Maarten,1,,1,,,,,,23,2020-03-23 09:20:02.077
196,138338,Sint Maarten,1,,1,,,,,,23,2020-03-23 09:30:02.13
197,138531,Sint Maarten,1,,1,,,,,,23,2020-03-23 09:40:02.332
198,138724,Sint Maarten,1,,1,,,,,,23,2020-03-23 09:50:02.443
199,138917,Sint Maarten,1,,1,,,,,,23,2020-03-23 10:00:02.551
200,139110,Sint Maarten,1,,1,,,,,,23,2020-03-23 10:10:01.713
201,139303,Sint Maarten,1,,1,,,,,,23,2020-03-23 10:20:02.121
202,139496,Sint Maarten,1,,1,,,,,,23,2020-03-23 10:30:02.602
203,139689,Sint Maarten,1,,1,,,,,,23,2020-03-23 10:50:02.503
