,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100841,Lithuania,99,30,97,1,,1,1,,36,2020-03-22 00:00:02.483
1,101030,Lithuania,99,30,97,1,,1,1,,36,2020-03-22 00:10:02.327
2,101219,Lithuania,99,30,97,1,,1,1,,36,2020-03-22 00:20:02.401
3,101408,Lithuania,99,30,97,1,,1,1,,36,2020-03-22 00:30:02.053
4,101597,Lithuania,99,30,97,1,,1,1,,36,2020-03-22 00:40:02.56
5,101786,Lithuania,99,30,97,1,,1,1,,36,2020-03-22 00:50:01.898
6,101975,Lithuania,99,30,97,1,,1,1,,36,2020-03-22 01:00:01.656
7,102164,Lithuania,99,30,97,1,,1,1,,36,2020-03-22 01:10:02.184
8,102353,Lithuania,99,30,97,1,,1,1,,36,2020-03-22 01:20:02.26
9,102542,Lithuania,99,30,97,1,,1,1,,36,2020-03-22 01:30:02.051
10,102731,Lithuania,99,30,97,1,,1,1,,36,2020-03-22 01:40:02.218
11,102920,Lithuania,99,30,97,1,,1,1,,36,2020-03-22 01:50:02.054
12,103109,Lithuania,99,30,97,1,,1,1,,36,2020-03-22 02:00:01.626
13,103298,Lithuania,99,30,97,1,,1,1,,36,2020-03-22 02:10:01.659
14,103487,Lithuania,99,30,97,1,,1,1,,36,2020-03-22 02:20:02.44
15,103676,Lithuania,99,30,97,1,,1,1,,36,2020-03-22 02:30:01.848
16,103865,Lithuania,99,30,97,1,,1,1,,36,2020-03-22 02:40:02.273
17,104054,Lithuania,99,30,97,1,,1,1,,36,2020-03-22 02:50:01.692
18,104243,Lithuania,99,30,97,1,,1,1,,36,2020-03-22 03:00:02.482
19,104432,Lithuania,99,30,97,1,,1,1,,36,2020-03-22 03:10:02.128
20,104621,Lithuania,99,30,97,1,,1,1,,36,2020-03-22 03:20:02.286
21,104810,Lithuania,99,,97,1,,1,1,,36,2020-03-22 03:30:01.618
22,104999,Lithuania,99,,97,1,,1,1,,36,2020-03-22 03:40:02.473
23,105188,Lithuania,99,,97,1,,1,1,,36,2020-03-22 03:50:02.419
24,105377,Lithuania,99,,97,1,,1,1,,36,2020-03-22 04:00:02.368
25,105566,Lithuania,99,,97,1,,1,1,,36,2020-03-22 04:10:02.471
26,105755,Lithuania,99,,97,1,,1,1,,36,2020-03-22 04:20:02.205
27,105944,Lithuania,99,,97,1,,1,1,,36,2020-03-22 04:30:01.838
28,106133,Lithuania,99,,97,1,,1,1,,36,2020-03-22 04:40:01.728
29,106322,Lithuania,99,,97,1,,1,1,,36,2020-03-22 04:50:02.186
30,106511,Lithuania,99,,97,1,,1,1,,36,2020-03-22 05:00:02.283
31,106700,Lithuania,99,,97,1,,1,1,,36,2020-03-22 05:10:02.023
32,106887,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 05:20:02.539
33,107076,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 05:30:01.917
34,107265,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 05:40:02.393
35,107454,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 05:50:01.706
36,107643,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 06:00:02.31
37,107832,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 06:10:02.48
38,108021,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 06:20:02.308
39,108210,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 06:30:02.468
40,108399,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 06:40:01.627
41,108588,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 06:50:02.568
42,108777,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 07:00:01.882
43,108966,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 07:10:01.602
44,109155,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 07:20:01.725
45,109344,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 07:30:02.517
46,109533,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 07:40:02.004
47,109723,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 07:50:01.639
48,109912,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 08:00:02.288
49,110101,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 08:10:01.955
50,110290,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 08:20:02.461
51,110479,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 08:30:01.924
52,110668,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 08:40:02.277
53,110857,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 08:50:01.998
54,111046,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 09:00:02.386
55,111235,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 09:10:02.333
56,111424,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 09:20:01.679
57,111613,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 09:30:01.858
58,111802,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 09:40:02.077
59,111991,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 09:50:02.389
60,112180,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 10:00:01.658
61,112369,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 10:10:02.03
62,112558,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 10:20:02.283
63,112747,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 10:30:02.203
64,112936,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 10:50:02.099
65,113125,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 11:00:01.809
66,113314,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 11:10:02.337
67,113503,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 11:20:02.297
68,113692,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 11:30:02.571
69,113881,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 11:40:01.658
70,114070,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 11:50:02.534
71,114260,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 12:00:01.655
72,114449,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 12:10:02.323
73,114639,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 12:20:01.826
74,114828,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 12:30:02.517
75,115017,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 12:40:02.46
76,115206,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 12:50:02.108
77,115395,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 13:00:01.691
78,115584,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 13:10:01.964
79,115773,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 13:20:01.995
80,115962,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 13:30:02.353
81,116152,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 13:40:02.609
82,116341,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 13:50:01.753
83,116530,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 14:00:02.347
84,116720,Lithuania,105,6,103,1,,1,1,,39,2020-03-22 14:10:02.014
85,116903,Lithuania,131,32,129,1,,1,1,,48,2020-03-22 14:20:01.732
86,117093,Lithuania,131,32,129,1,,1,1,,48,2020-03-22 14:30:02.279
87,117282,Lithuania,131,32,129,1,,1,1,,48,2020-03-22 14:40:01.994
88,117471,Lithuania,131,32,129,1,,1,1,,48,2020-03-22 14:50:01.896
89,117660,Lithuania,131,32,129,1,,1,1,,48,2020-03-22 15:00:01.708
90,117849,Lithuania,131,32,129,1,,1,1,,48,2020-03-22 15:10:01.808
91,118038,Lithuania,131,32,129,1,,1,1,,48,2020-03-22 15:20:02.115
92,118227,Lithuania,131,32,129,1,,1,1,,48,2020-03-22 15:30:02.542
93,118416,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 15:40:01.608
94,118605,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 15:50:02.028
95,118794,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 16:00:01.887
96,118983,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 16:10:02.607
97,119173,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 16:40:02.392
98,119363,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 16:50:02.248
99,119553,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 17:00:02.174
100,119743,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 17:10:01.966
101,119933,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 17:20:01.901
102,120123,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 17:30:03.26
103,120313,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 17:40:03.136
104,120503,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 17:50:01.957
105,120693,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 18:00:01.753
106,120883,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 18:10:02.492
107,121073,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 18:30:02.036
108,121263,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 18:40:02.238
109,121453,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 18:50:02.468
110,121643,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 19:00:01.712
111,121833,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 19:10:01.802
112,122023,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 19:20:01.774
113,122213,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 19:30:02.213
114,122404,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 19:40:02.298
115,122597,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 19:50:02.038
116,122789,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 20:00:02.199
117,122981,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 20:10:02.435
118,123173,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 20:20:01.689
119,123365,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 20:30:01.705
120,123557,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 20:40:02.242
121,123749,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 20:50:02.144
122,123941,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 21:00:01.651
123,124133,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 21:10:02.274
124,124326,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 21:20:02.379
125,124519,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 21:30:02.09
126,124712,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 21:40:02.262
127,124905,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 21:50:02.451
128,125098,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 22:00:02.593
129,125291,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 22:10:02.087
130,125484,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 22:20:01.881
131,125677,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 22:30:01.794
132,125870,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 22:40:01.8
133,126063,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 22:50:01.828
134,126256,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 23:00:02.502
135,126449,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 23:10:02.549
136,126642,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 23:20:01.891
137,126835,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 23:30:01.863
138,127028,Lithuania,129,30,127,1,,1,1,,47,2020-03-22 23:40:02.207
139,127218,Lithuania,143,44,141,1,,1,1,,53,2020-03-22 23:50:01.664
140,127411,Lithuania,143,44,141,1,,1,1,,53,2020-03-23 00:00:02.179
141,127604,Lithuania,143,44,141,1,,1,1,,53,2020-03-23 00:10:01.95
142,127797,Lithuania,143,44,141,1,,1,1,,53,2020-03-23 00:20:02.492
143,127990,Lithuania,143,44,141,1,,1,1,,53,2020-03-23 00:30:02.344
144,128183,Lithuania,143,44,141,1,,1,1,,53,2020-03-23 00:40:01.875
145,128376,Lithuania,143,44,141,1,,1,1,,53,2020-03-23 00:50:02.095
146,128569,Lithuania,143,44,141,1,,1,1,,53,2020-03-23 01:00:02.319
147,128762,Lithuania,143,44,141,1,,1,1,,53,2020-03-23 01:10:01.782
148,128955,Lithuania,143,44,141,1,,1,1,,53,2020-03-23 01:20:02.43
149,129148,Lithuania,143,44,141,1,,1,1,,53,2020-03-23 01:30:02.407
150,129341,Lithuania,143,44,141,1,,1,1,,53,2020-03-23 01:40:02.085
