,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100833,UAE,153,13,113,2,,38,2,,15,2020-03-22 00:00:02.483
1,101022,UAE,153,13,113,2,,38,2,,15,2020-03-22 00:10:02.327
2,101211,UAE,153,13,113,2,,38,2,,15,2020-03-22 00:20:02.401
3,101400,UAE,153,13,113,2,,38,2,,15,2020-03-22 00:30:02.053
4,101589,UAE,153,13,113,2,,38,2,,15,2020-03-22 00:40:02.56
5,101778,UAE,153,13,113,2,,38,2,,15,2020-03-22 00:50:01.898
6,101967,UAE,153,13,113,2,,38,2,,15,2020-03-22 01:00:01.656
7,102156,UAE,153,13,113,2,,38,2,,15,2020-03-22 01:10:02.184
8,102345,UAE,153,13,113,2,,38,2,,15,2020-03-22 01:20:02.26
9,102534,UAE,153,13,113,2,,38,2,,15,2020-03-22 01:30:02.051
10,102723,UAE,153,13,113,2,,38,2,,15,2020-03-22 01:40:02.218
11,102912,UAE,153,13,113,2,,38,2,,15,2020-03-22 01:50:02.054
12,103101,UAE,153,13,113,2,,38,2,,15,2020-03-22 02:00:01.626
13,103290,UAE,153,13,113,2,,38,2,,15,2020-03-22 02:10:01.659
14,103479,UAE,153,13,113,2,,38,2,,15,2020-03-22 02:20:02.44
15,103668,UAE,153,13,113,2,,38,2,,15,2020-03-22 02:30:01.848
16,103857,UAE,153,13,113,2,,38,2,,15,2020-03-22 02:40:02.273
17,104046,UAE,153,13,113,2,,38,2,,15,2020-03-22 02:50:01.692
18,104235,UAE,153,13,113,2,,38,2,,15,2020-03-22 03:00:02.482
19,104424,UAE,153,13,113,2,,38,2,,15,2020-03-22 03:10:02.128
20,104613,UAE,153,13,113,2,,38,2,,15,2020-03-22 03:20:02.286
21,104802,UAE,153,,113,2,,38,2,,15,2020-03-22 03:30:01.618
22,104991,UAE,153,,113,2,,38,2,,15,2020-03-22 03:40:02.473
23,105180,UAE,153,,113,2,,38,2,,15,2020-03-22 03:50:02.419
24,105369,UAE,153,,113,2,,38,2,,15,2020-03-22 04:00:02.368
25,105558,UAE,153,,113,2,,38,2,,15,2020-03-22 04:10:02.471
26,105747,UAE,153,,113,2,,38,2,,15,2020-03-22 04:20:02.205
27,105936,UAE,153,,113,2,,38,2,,15,2020-03-22 04:30:01.838
28,106125,UAE,153,,113,2,,38,2,,15,2020-03-22 04:40:01.728
29,106314,UAE,153,,113,2,,38,2,,15,2020-03-22 04:50:02.186
30,106503,UAE,153,,113,2,,38,2,,15,2020-03-22 05:00:02.283
31,106692,UAE,153,,113,2,,38,2,,15,2020-03-22 05:10:02.023
32,106881,UAE,153,,113,2,,38,2,,15,2020-03-22 05:20:02.539
33,107070,UAE,153,,113,2,,38,2,,15,2020-03-22 05:30:01.917
34,107259,UAE,153,,113,2,,38,2,,15,2020-03-22 05:40:02.393
35,107448,UAE,153,,113,2,,38,2,,15,2020-03-22 05:50:01.706
36,107637,UAE,153,,113,2,,38,2,,15,2020-03-22 06:00:02.31
37,107826,UAE,153,,113,2,,38,2,,15,2020-03-22 06:10:02.48
38,108015,UAE,153,,113,2,,38,2,,15,2020-03-22 06:20:02.308
39,108204,UAE,153,,113,2,,38,2,,15,2020-03-22 06:30:02.468
40,108393,UAE,153,,113,2,,38,2,,15,2020-03-22 06:40:01.627
41,108582,UAE,153,,113,2,,38,2,,15,2020-03-22 06:50:02.568
42,108771,UAE,153,,113,2,,38,2,,15,2020-03-22 07:00:01.882
43,108960,UAE,153,,113,2,,38,2,,15,2020-03-22 07:10:01.602
44,109149,UAE,153,,113,2,,38,2,,15,2020-03-22 07:20:01.725
45,109338,UAE,153,,113,2,,38,2,,15,2020-03-22 07:30:02.517
46,109527,UAE,153,,113,2,,38,2,,15,2020-03-22 07:40:02.004
47,109716,UAE,153,,113,2,,38,2,,15,2020-03-22 07:50:01.639
48,109905,UAE,153,,113,2,,38,2,,15,2020-03-22 08:00:02.288
49,110094,UAE,153,,113,2,,38,2,,15,2020-03-22 08:10:01.955
50,110283,UAE,153,,113,2,,38,2,,15,2020-03-22 08:20:02.461
51,110472,UAE,153,,113,2,,38,2,,15,2020-03-22 08:30:01.924
52,110661,UAE,153,,113,2,,38,2,,15,2020-03-22 08:40:02.277
53,110850,UAE,153,,113,2,,38,2,,15,2020-03-22 08:50:01.998
54,111039,UAE,153,,113,2,,38,2,,15,2020-03-22 09:00:02.386
55,111228,UAE,153,,113,2,,38,2,,15,2020-03-22 09:10:02.333
56,111417,UAE,153,,113,2,,38,2,,15,2020-03-22 09:20:01.679
57,111606,UAE,153,,113,2,,38,2,,15,2020-03-22 09:30:01.858
58,111795,UAE,153,,113,2,,38,2,,15,2020-03-22 09:40:02.077
59,111984,UAE,153,,113,2,,38,2,,15,2020-03-22 09:50:02.389
60,112173,UAE,153,,113,2,,38,2,,15,2020-03-22 10:00:01.658
61,112362,UAE,153,,113,2,,38,2,,15,2020-03-22 10:10:02.03
62,112551,UAE,153,,113,2,,38,2,,15,2020-03-22 10:20:02.283
63,112740,UAE,153,,113,2,,38,2,,15,2020-03-22 10:30:02.203
64,112929,UAE,153,,113,2,,38,2,,15,2020-03-22 10:50:02.099
65,113118,UAE,153,,113,2,,38,2,,15,2020-03-22 11:00:01.809
66,113307,UAE,153,,113,2,,38,2,,15,2020-03-22 11:10:02.337
67,113496,UAE,153,,113,2,,38,2,,15,2020-03-22 11:20:02.297
68,113685,UAE,153,,113,2,,38,2,,15,2020-03-22 11:30:02.571
69,113874,UAE,153,,113,2,,38,2,,15,2020-03-22 11:40:01.658
70,114063,UAE,153,,113,2,,38,2,,15,2020-03-22 11:50:02.534
71,114252,UAE,153,,113,2,,38,2,,15,2020-03-22 12:00:01.655
72,114441,UAE,153,,113,2,,38,2,,15,2020-03-22 12:10:02.323
73,114630,UAE,153,,113,2,,38,2,,15,2020-03-22 12:20:01.826
74,114819,UAE,153,,113,2,,38,2,,15,2020-03-22 12:30:02.517
75,115008,UAE,153,,113,2,,38,2,,15,2020-03-22 12:40:02.46
76,115197,UAE,153,,113,2,,38,2,,15,2020-03-22 12:50:02.108
77,115386,UAE,153,,113,2,,38,2,,15,2020-03-22 13:00:01.691
78,115575,UAE,153,,113,2,,38,2,,15,2020-03-22 13:10:01.964
79,115764,UAE,153,,113,2,,38,2,,15,2020-03-22 13:20:01.995
80,115953,UAE,153,,113,2,,38,2,,15,2020-03-22 13:30:02.353
81,116142,UAE,153,,113,2,,38,2,,15,2020-03-22 13:40:02.609
82,116331,UAE,153,,113,2,,38,2,,15,2020-03-22 13:50:01.753
83,116520,UAE,153,,113,2,,38,2,,15,2020-03-22 14:00:02.347
84,116709,UAE,153,,113,2,,38,2,,15,2020-03-22 14:10:02.014
85,116898,UAE,153,,113,2,,38,2,,15,2020-03-22 14:20:01.732
86,117088,UAE,153,,113,2,,38,2,,15,2020-03-22 14:30:02.279
87,117277,UAE,153,,113,2,,38,2,,15,2020-03-22 14:40:01.994
88,117466,UAE,153,,113,2,,38,2,,15,2020-03-22 14:50:01.896
89,117655,UAE,153,,113,2,,38,2,,15,2020-03-22 15:00:01.708
90,117844,UAE,153,,113,2,,38,2,,15,2020-03-22 15:10:01.808
91,118033,UAE,153,,113,2,,38,2,,15,2020-03-22 15:20:02.115
92,118222,UAE,153,,113,2,,38,2,,15,2020-03-22 15:30:02.542
93,118411,UAE,153,,113,2,,38,2,,15,2020-03-22 15:40:01.608
94,118600,UAE,153,,113,2,,38,2,,15,2020-03-22 15:50:02.028
95,118789,UAE,153,,113,2,,38,2,,15,2020-03-22 16:00:01.887
96,118979,UAE,153,,113,2,,38,2,,15,2020-03-22 16:10:02.607
97,119169,UAE,153,,113,2,,38,2,,15,2020-03-22 16:40:02.392
98,119359,UAE,153,,113,2,,38,2,,15,2020-03-22 16:50:02.248
99,119549,UAE,153,,113,2,,38,2,,15,2020-03-22 17:00:02.174
100,119739,UAE,153,,113,2,,38,2,,15,2020-03-22 17:10:01.966
101,119929,UAE,153,,113,2,,38,2,,15,2020-03-22 17:20:01.901
102,120119,UAE,153,,113,2,,38,2,,15,2020-03-22 17:30:03.26
103,120309,UAE,153,,113,2,,38,2,,15,2020-03-22 17:40:03.136
104,120499,UAE,153,,113,2,,38,2,,15,2020-03-22 17:50:01.957
105,120689,UAE,153,,113,2,,38,2,,15,2020-03-22 18:00:01.753
106,120879,UAE,153,,113,2,,38,2,,15,2020-03-22 18:10:02.492
107,121069,UAE,153,,113,2,,38,2,,15,2020-03-22 18:30:02.036
108,121259,UAE,153,,113,2,,38,2,,15,2020-03-22 18:40:02.238
109,121449,UAE,153,,113,2,,38,2,,15,2020-03-22 18:50:02.468
110,121639,UAE,153,,113,2,,38,2,,15,2020-03-22 19:00:01.712
111,121829,UAE,153,,113,2,,38,2,,15,2020-03-22 19:10:01.802
112,122019,UAE,153,,113,2,,38,2,,15,2020-03-22 19:20:01.774
113,122209,UAE,153,,113,2,,38,2,,15,2020-03-22 19:30:02.213
